"PopupLeftSide src","SpeakersLeftInfo","popdesignation","popcompanyName","popcountry","Sepeaker_Bio","Sepeaker_Bio 2","Sepeaker_Bio 3","Sepeaker_Bio 4","Sepeaker_Bio 5"
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/SaidIbrahimi0505.jpg","Saïd Ibrahimi","CEO​","Casablanca Finance City Authority","Morocco","Saïd Ibrahimi was appointed as CEO of Casablanca
Finance City Authority in April 2010 by His Majesty King Mohammed VI.","He started his professional career in France in 1986,
where he held various operational roles within the BNP Paribas Group in France
and Morocco. In September 1995, he was appointed Managing Director of Banque
Marocaine pour l'Afrique et l’Orient.","Two years later, His Majesty the late King Hassan II
appointed him CEO of Caisse Nationale du Crédit Agricole (now Crédit du Maroc).
In 2003, His Majesty King Mohammed VI entrusted Mr. Ibrahimi with the role of
General Treasurer of the Kingdom.","Said Ibrahimi is an engineer alumni of « Ecole
Centrale de Paris » and holds a graduate diploma of industrial engineering.",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/charles.jpg","H.E Charles Acheampong","Deputy Minister","Ministry of Communication and Digitization","Ghana","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/nnn.jpg","Mohammed Fikrat","President","CREDIT AGRICOLE","Morocco","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/image29.jpeg","Vinod Khosla","Co-Founder & Investment Partner","Khosla Ventures","USA","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/image-(2)-1.jpg","João Ramos","Director General, Digital Economy","Government of Cape Verde","Cape Verde","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/Lionel.jpg","Lionel Zinsou","Former Prime Minister of Benin and Managing Partner","Southbridge Investments","Benin","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/EL-HABTI_2023-1-scaleds.jpg","Hicham el Habti","President","UM6P University","Morocco","Hicham El Habti is the President of Mohammed VI Polytechnic University since October 2020. With a combination of both corporate as well as education management and administration skills and leadership capabilities, he continues fostering organizational development, leading formulation and implementation of the university’s strategic vision and transformation aspirations, promoting the implementation of effective procedures and institutional reforms and building impactful collaborations and linkages at the local and international levels.","Hicham El Habti has extensive education, experience and background in Applied Mathematics and Economics. Hicham El Habti also holds an engineering degree from l’Ecole Nationale des Ponts et Chaussées in Economics, Management and Finance.","He joined OCP Group in January 2013 where he has served in various positions before being appointed Deputy General Secretary. Prior to joining OCP Group, he has undertaken several strategic and managerial positions including piloting strategic and operational projects, financial risk management, managing investments and providing consultancy services and guidance to leading companies in Morocco and France.","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/gov-1.jpg","Ahmed Mohammed Alsuwaiyan","Governor","Digital Government Authority","KSA","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/image6-1.jpg","Sacha Michaud","Co-Founder","Glovo","Spain","Sacha Michaud is a British-Canadian serial entrepreneur and business executive based in Spain who co-founded Glovo with Oscar Pierre in 2015. Glovo has since become the fastest growing multicategory player in Europe, Central Asia and Africa. After attracting ~1bn EUR of investments, expanding to 25 countries, 1,500+ cities, serving over 170,000 businesses and millions of monthly users, it was acquired by Delivery Hero (ETR: DHER) for 2.3bn EUR in 2022.  Prior to Glovo, Sacha was an executive at Betfair (now Flutter (LON:FLTR)) for 9 years. Between 1997 and 2005 he founded and grew LatinRed, one of the largest providers of internet services in Spanish, (sold in 1999 to StarMedia (NAS:STRM)). He has also founded successful companies related to data centers (hosting), digital communication and online translations.","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/naveen.jpg","Naveen Kachroo","Chief Product and Commercial Officer","Amazon Project Kuiper","United States","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/image-5.jpg","Sutowo Wong","Ministry of Health","Director of Data Analytics","Singapore","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/ProfAkinAbayomi0305.jpg","Akin Abayomi","Honorable Commissioner","Lagos State Ministry of Health","NIGERIA","Professor Akin Abayomi is a
specialist in Internal Medicine, Haematology-oncology, Biosecurity and
Environmental health. He received his First degree in Medicine at the Royal
Medical College of St. Bartholomew's Hospital in the University of London, with
fellowship from both Royal College of Medicine and Pathology in the United
Kingdom and the College of Medicine of South Africa.","His Focus has been mainly on the
concept of emerging infectious diseases and the development of diagnostic and
clinical capacity in Africa.","Professor Abayomi was Chief
Pathologist and Head of the Division of Haematology at the University of
Stellenbosch's Faculty of Medicine Science in 2009 in Cape Town, South Africa.
Prior to that he was a Consultant at the University of West Indies and the
University of Zimbabwe. He has been exposed to a vast variety of geographical
variations and disease patterns within the field of Internal Medicine having
worked in diverse countries of the world. Prof. Abayomi is a fellow of the
African Academy of Science.","Professor Akin Abayomi is the
Founder of the Global Emerging Pathogen Consortium also known as GET, which was
entrenched at the peak of the Ebola outbreak to address Biosecurity concerns in
Africa. He is a member of the Board and Honorary Professor to the Centre for
Biosecurity Studies, University of the West Indies. Cave hill Campus, Barbados,
Caribbean. (2018), as well as a Professor of Medicine at the Nigerian Institute
of Medical Research in Lagos, Nigeria (2018).","He is a consultant to the West
Africa Health Organisation (WAHO) Biosecurity and Biobanking framework to
service the ECOWAS member. He is also a recipient of the National Productivity
Order of Merit (NPOM) Award and an Officer of the Order of the Niger (OON) as conferred
by the President of the Federal Republic of Nigeria in recognition of his excellence
in the medical field and his high productivity especially in the expert
containment of the Covid-19 pandemic in 2020."
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/image-2.jpg","Augustine Chiew","CTO, Public Services","Huawei Technologies","China","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/SaskiaPic0305.jpg","Saskia Steinacker","Senior Vice President, Global Head Strategy and Digital Transformation","Bayer","USA","Saskia Steinacker currently serves as the Senior
Vice President Strategy & Digital Transformation at Bayer. In 2018 she was
nominated for the European High Level Expert Group for Artificial Intelligence,
which included recommendations on future AI-related policy development and on
ethical, legal and societal aspects related to AI. She is also serving on the
Presidency Committee of the European Association of the Internet Industry as
well as a board member of the Y-USA National Board.","She graduated from Ecosign Academy with
distinction in Communication Design and holds a master’s in business
administration from Liverpool University.","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/AjaiSehgalpic0305.jpg","Ajai Sehgal","Chief Data & Analytics Officer","Mayo Clinic","USA","Ajai Sehgal has been Mayo Clinic’s Chief Data & Analytics Officer since
December 2020 with a focus on enabling the ethical use of Mayo Clinic’s 159
years of data to inform the evolution of medicine and the development of future
cures for the benefit of all of humanity. Ajai has extensive experience in data,
analytics, and AI based product and technology with global scale. Ajai served as
CTO/CIO for Eagleview from December 2017 until September 2020 and the
Chemistry Group as its CTO/CIO from January to December 2017 as well as
Hootsuite as its CTO/CIO from 2014 to 2017, leading Data & Analytics, Software
Engineering, IT, Security, and Operations. Prior to Hootsuite, he spent 16 years
with the Royal Canadian Airforce before joining Microsoft in Redmond WA. While
at Microsoft, he helped found and scale Expedia from a small group of 40 people
within Microsoft into a new public company that became the world’s largest travel
agency.","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/5.jpg","British A. Robinson","Coordinator for Prosper Africa","U.S. Agency for International Development (USAID)","USA","Ms. British A. Robinson serves as the Coordinator for
Prosper Africa, a U.S. Presidential, national security
initiative aimed at strengthening the strategic and
economic partnership with African countries. She
collaborates closely with the White House National
Security Council and 17 U.S. federal agencies to forge
partnerships with businesses, investors and government
leaders.
Robinson is a visionary leader with decades of experience
in public-private partnerships, social impact investing,
corporate social responsibility, global public health,
education, and government policy. She launched her
career at Citibank in retail banking and private wealth. For more than a decade she worked with
the U.S. Jesuit Conference as National Director of the Office of Social and International
Ministries, where she managed their socially responsible investing program.
Robinson began her career in government at the U.S. Department of State working on the U.S.
President’s Emergency Plan for AIDS Relief (PEPFAR) as Deputy Coordinator/Director of Private
Sector Engagement, where she oversaw public-private partnerships to strengthen the world’s
largest global health program addressing HIV/AIDS. She recently served as President & CEO of
the Barbara Bush Foundation for Family Literacy.
In 2022, Robinson was recognized for her distinguished career by Forbes’ 50 Over 50 for Impact
– a list of entrepreneurs and changemakers helping to make the world a better, more equitable
place. She holds a master’s degree in government from Johns Hopkins University, a bachelor’s
degree in public policy and business administration from George Washington University, and an
honorary doctorate from Fairfield University","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/Hannapic0305.jpg","Hanna Burkhadt","Lead Innovation Fund","UNICEF","Sweden","Hanna
is leading the UNICEF Venture Fund from their Stockholm office, investing in
frontier tech startup solutions from emerging markets that are just and open to
all, particularly those who are routinely underrepresented, to benefit children
and youth, everywhere. Prior to UNICEF, Hanna has worked in the global asset
management and financial services industry, leading change initiatives within
corporate- and investment strategy. During this time, she has also had an
interest for blockchain technology and its usage within financial services, a
curiosity that started during her work on the topic with the World Economic
Forum 2015.","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/orange.jpg","Brelotte Ba","Deputy CEO","Orange Africa","France","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/CelestinRwabukumba0505.jpg","Pierre Celestin Rwabukumba","CEO​","Rwanda Stock Exchange","Rwanda","Mr. Pierre Celestin RWABUKUMBA a Rwandan national is the current President of the African Securities Exchanges Association (ASEA), Chairman of the East African Securities Exchanges Association (EASEA), and Chief Executive Officer of the Rwanda Stock Exchange Ltd. and serves as the President of the World Veterans Club Championship (VCWV) Business Club. He is the Co-founder and Chairman of Kigali Cement Company, a private company that produces and sells cement in Rwanda and neighboring countries. He is also serving on several other boards and advisory boards within the financial sector in Rwanda, hospitality, education, and manufacturing industries where he serves as a non – Executive Director.  He is also involved in different investment projects ranging from Real Estate, Poultry, Agro-processing, and manufacturing to Energy production.","Mr. Rwabukumba started his career in financial services in New York City more than two decades ago after graduating from the University of Buffalo (UB), New York in the United States with A bachelor’s degree in economics.","He worked in different professional positions as a stockbroker, in Compliance and Operations, Institutional Investors’ Sales and Advisory before he joined the Central Bank of Rwanda in 2004 to help start the Capital Market Development Project in Rwanda.","Mr. Rwabukumba is a seasoned negotiator as he has been instrumental in different negotiations on regional integration of the East African Community and the Economic Community of Central African States (ECAS). He has served on different Capital Market Committees both at the national and the regional level the latest being the High-Level Task Force negotiating the EAC Monetary Union and the EAC Regional Capital Markets Infrastructure (CMI) Steering Committee where he serves as Chair.","Mr. Rwabukumba is an Alumni of a one-year international post-Graduate Advanced Management Program (AMP) for Executives run jointly by Strathmore Business School of Nairobi, the Lagos Business School, Pan- Atlantic University and IESE Business School, the University of Navara in Barcelona, Spain."
"https://gitexafrica.com/Uploads//Posts/img/spekers/image-(3)---1.jpg","Aly Silli Soumare","Secretary General","Ministry of Digital Transformation ,Innovation and Modernization of Administration","Mauritania","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/E-Moreno-creditMelanieRobin0505.jpg","Elisabeth Moreno","FORMER FRENCH MINISTER OF GENDER EQUALITY,  PRESIDENT","RING CAPITAL","France","Elisabeth Moreno is a French-Cape Verdean, born in Cape Verde
in 1970 and moved to France in 1976. She has successively been an
entrepreneur, senior executive, consular judge, minister, and
businesswoman.","Holding a Master’s degree in Business Law in France and a dual
Executive MBA from ESSEC and Mannheim Business School in
Germany, she completed her education and professional training
at the National School of Magistracy to become a judge.","Elisabeth Moreno hasspent the majority of her career in the business world. In 1990,she co-founded a
company specializing in thermal rehabilitation, which she directed for about a decade. She then made
a transition to the tech world and worked for several multinationals, including France Telecom, Dell,
and Lenovo, where she was appointed CEO of the French subsidiary in 2017. Six years later, she joined
the Hewlett Packard group to lead the group’ssubsidiary forthe African continent","Ms. Moreno has also been a member of the AFD’s Investment Advisory Committee and a member of
the ID Invest (Eurazeo)strategic committee.","In July 2020, Elisabeth Moreno was appointed by the French President, Emmanuel Macron, as
Minister for Gender Equality, Diversity, and Equal Opportunities in Jean Castex’s government. Under
her leadership, the French government passed a law aimed at protecting victims of domestic violence,
another to promote women’s economic empowerment, and she successfully introduced a bill to
protect victims of conversion therapy. In 2021, she launched a platform to fight discrimination
supported by the Human Rights Defender. She also implemented a diversity and inclusion index for
French and foreign companiesin partnership with non-profit actors."
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/image-7-1.jpg","Mark Loughran","Group President and Deputy CEO","inDrive","Cyprus","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/Marelizephoto0305.jpg","Marelize Gorgens","AI & Health Lead","The World Bank","USA","At the World Bank, Marelize Gorgens Prestidge
(B.Eng, PMP, MA (MPH), MSc) leads efforts on innovation, AI, and digital
technologies for human development, working with countries around the world.
With an academic background in engineering, public health, data science, and
functional medicine, Marelize first rose to the ranks of a director at a
management consulting firm before she worked at a Ministry of Education in a
low-income country developing education management information systems. She also
had a stint as an entrepreneur in the health analytics space, worked with
several non-governmental organizations, and worked in academia as a University
lecturer. She has an extensive academic publication record and is on the
editorial board of two journals (Global Health Science and Practice, and Oxford
Digital Health).","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/image8-1.jpg","Matis Pellerin","VP, Global Government Affairs","Oracle","UAE","","","","",""
"https://gitexafrica.com/Uploads//Posts/img/spekers/top28/6.jpg","Imade Elbaraka","Managing Partner, Cyber, France & Francophone Africa","Deloitte","France","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/LilianBarnard0505.jpg","Lillian Barnard","President","Microsoft Africa","South Africa","Lillian is a highly accomplished executive and leader with over 25 years of experience in
the technology industry. She has made a significant impact through her leadership,
strategic vision, and commitment to driving innovation. During her tenure at Microsoft,
Barnard has played a pivotal role in transforming the company's operations and driving
growth in South Africa. She has spearheaded initiatives to empower businesses and
individuals with digital transformation solutions, helping them leverage technology to
achieve their goals and drive economic development.","Lillian is renowned for her passion for driving inclusion and diversity in the technology
sector. She has championed various programs and initiatives that support the
development and empowerment of women in technology, aiming to close the gender
gap and create equal opportunities. She has been pivotal in re-igniting the local chapter
of Women@Microsoft and spurring a culture that encourages equality in the workplace.
She was recently chosen as Central Europe Middle East Africa (CEMA) Executive Sponsor
for Women at Microsoft.","She previously held various executive positions in the ICT Sector. Her leadership skills,
strategic thinking, and deep industry knowledge have been instrumental in driving
growth and success in these organizations. Barnard's strong leadership skills and
commitment to excellence have been recognized with several accolades throughout her
career.","She has been honoured as the Lifetime Achiever for Women in Technology in Africa and
has received numerous awards for her contributions to the technology industry. This is a
testament to her commitment to developing and advancing the next generation of
leaders.","Overall, Lillian Barnard is a highly respected and influential leader in the technology
industry. Her dedication to driving digital transformation, promoting diversity, and
delivering impactful results make her an exceptional executive at Microsoft."
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/PascalAndreiC0505.jpg","Dr. Pascal Andrei","Chief Security Officer","Airbus","France","Dr. Pascal Andrei has a French state PhD degree in Competitive Intelligence & Security from Paris University after a Mathematics and Physics Masters.","He started his career at AEROSPATIALE in 1993 as head of Competitive Intelligence before leading e-business activities in Munich for EADS headquarters. He created and led Aircraft Security within Airbus before becoming Chief Product Security Officer and Executive Expert for all Airbus divisions overseeing all Airbus products (aircraft, helicopters, satellites, launchers…).","Pascal Andrei is currently Airbus SVP Chief Security Officer, leading all Security activities globally for Airbus companywide, with a direct report to Airbus CEO.","He plays a very active role in international cooperative efforts to guarantee the overall (Cyber and Physical) security of the commercial aviation industry infrastructure. For this contribution, he was nominated personality of the year in 2015 by the Air Transportation System Security community in Dubai.","He is a reservist of the “GIGN” the elite police tactical unit of the French National Gendarmerie and was decorated Knight of the Legion d’Honneur in 2017."
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/AwoAbloHeadshot0505.jpg","Awo Ablo","Executive Vice President, Strategy & Partnerships, Board Director","Tony Blair Institute for Global Change","UK","Awo is EVP for Strategy and Partnerships and Board Director at the Tony Blair Institute for Global Change, as well as Board Director at Oracle Corporation, Vice Chair of the Board for BBC Media Action, Vice Chair of the Institute for Development Studies (IDS) at the University of Sussex.","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/ThomasMaketa1.jpg","Thomas Maketa","Ministry of Finance","Director General​, Treasury and Public Accounting","Democratic Republic of Congo (DRC)","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/DrIbrahim.jpg","Dr. Omar Farouk Ibrahim","Secretary General of African Petroleum Producers’ Organisation (APPO)","Vice Chair Africa of World Energy Council","Nigeria","Omar Farouk Ibrahim holds a Doctorate degree in Political Science from Rutgers University, New 
Brunswick, New Jersey, USA, 1988, a Master’s degree from Bayero University, Kano, Nigeria, 
1983, and a Bachelor’s degree from Ahmadu Bello University, Zaria, Nigeria, 1980.","Dr. Ibrahim assumed the position of APPO Secretary General on 4th January 2020. He is also the 
Regional Chair, Africa, of the World Energy Council, WEC, a position he has held since 2022.
Until then he was Adviser on International Energy Relations to four successive Ministers for 
Petroleum Resources of the Federal Republic of Nigeria. In that position he represented Nigeria 
on the boards of several inter-governmental energy organizations. He was Nigeria’s Governor to 
the Vienna-based Organization of the Petroleum Exporting Countries, OPEC, 2015-2020, and 
Executive Board Member at the Doha-based Gas Exporting Countries’ Forum, GECF, 2015-2020. 
At the same time, he coordinated Nigeria’s affairs at the International Energy Forum, IEF, and 
later the African Petroleum Producers’ Association, APPA.","Dr. Ibrahim was, between 2010 and 2014, General Manager and later Group General Manager, 
Group Public Affairs Division, at the Nigerian National Petroleum Corporation, NNPC.","Before joining the NNPC, he spent seven years February 2003 – December 2009 as Head of the 
PR and Information Department and Member of Senior Management at the OPEC Secretariat, in 
Vienna. He was the Executive Editor of the OPEC Energy Review and Editor-in-Chief of the OPEC 
Bulletin.","Before venturing into the oil sector in 2003, Dr. Ibrahim was in the media where he was at various 
times the Managing Director/Chief Executive Officer of the Nigerian Federal Government-owned 
media house the New Nigerian Newspapers between 1999 and 2003. He was also the chairman 
of the Board of Directors of Newpack Printing and Packaging Company Limited. Before coming 
to the New Nigerian, Omar Farouk Ibrahim had spent nine years in various positions at the Daily 
Times of Nigeria, ranging from Member of the Editorial Board to a columnist and Op-Ed editor, 
General Manager Nigerpack Press Limited, and Group Controller of Administration."
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/RockyDawuniBiography0505.jpg","Rocky Dawuni","Musician, Activist, UN Goodwill Ambassador","The Environment for Africa","Ghana","Three-time  nominated musician and activist, , straddles the
boundaries between Africa, the
Caribbean and the U.S. to create his appealing Afro Roots sound that unites generations and cultures. A galvanizing
performer, Dawuni has shared the stage with luminaries including Stevie Wonder, Ozomatli, Sauti Sol, Janelle Monae
and John Legend, among many others. Named one of Africa's Top 10 global stars by CNN, he has showcased his talent at
prestigious venues such as The Kennedy Center, Lincoln Center and The Hollywood Bowl. Rocky is a UN Goodwill
Ambassador for the Environment for Africa, a . Rocky was also named the Global Ambassador for the  which is a globally recognized by . Through
these and other designations
he uses his
music to shine a light on crucial issues facing humanity cross the globe through live concerts, speaking roles,
panels, youth empowerment and more.","Influenced by the soulful beats of Fela Kuti and the positive messages of Bob Marley - Rocky Dawuni's infectious,
sing-along sixth album, , (Cumbancha) was nominated for a
 for “”
(2016) featuring the Afro Dancehall mashup video "".” Branches highlights Dawuni's ability to
communicate a universal, uplifting message that crosses borders and reaches out to the hearts of millions. The
influential “Songlines Magazine named the album one of the “”","Rocky released a Ghana focused EP “” which was nominated for “” for
the . Three beautiful videos were released for the EP including “” shot in Los Angeles,
CA by photographer Casey Bridges (son of legendary actor Beau Bridges) which is a poignant tribute to 2020 as well
as “”
which was shot by rising Ghanaian cinematographer Slinghot in Rocky’s home
village of Bunbon,
Ghana which explores how “” The most recent video for the classic Palmwine Highlife song “”
which means “you or it’s
you” is sung in the local Akan dialect of Twi. It is a love song that uses its call and response style to express
the beauty and triumph of being in love. In a time when divisive rhetoric on the rise and the political climate
prefers to build walls over bridges, Rocky’s music is a refreshing message about global unity and a worldview of
oneness.","Rocky released “” featuring  in late 2022 which was nominated for a
 for “” In spring of 2023, Rocky collaborated with world renown Jamaian Reggae group,

on their smokin track “” also featuting Lord Alhajiam of Daara J fame from Senegal.
Rocky the
released track and video with Highlife sensation and fellow Ghanaian,  for their
collaboration track “” which is receiving rave reviews around the world and was
launced with . Rocky recently
released a brand new global roots anthem “” from his upcoming album which he plans to
release in 2024
which got an amazing review in ! Rocky also just released a collaborative track
with ,
a bright young Ghanaian artist from Kumasi, called “” which is blowing up the airwaves in Ghana
and beyond for
the holiday season!","GRAMMY"
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/CelinaLee0505.jpg","Celina Lee","Co-Founder & CEO","Zindi Africa","Mauritius","Celina Lee is an international development executive turned entrepreneur. As the co-founder of Zindi (), she is on a mission to make AI accessible to everyone. Zindi is the leading professional network of AI and data talent in Africa and is a driving force behind the AI revolution on the continent. Zindi has built a database of over 70,000 data and AI practitioners across 52 African countries and 190 countries world-wide and serves clients including Google, Microsoft, ABSA, and Ernst & Young.","Celina has 20 years of experience working at the intersection of data and impact. Originally from San Francisco, she has lived and worked across Latin America, Asia, and Africa. Celina holds a bachelor’s degree in applied mathematics and computer science, and a Master’s degree in International Affairs, both from Columbia University in New York City.","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/MactarSeck0505.jpg","Dr. Mactar Seck","Chief of Technology & Innovation","United Nations Economic Commission for Africa (UNECA)","Ethiopia","","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/Lavinaspkr0505.jpg","Lavina Ramkissoon","Technology and Data Expert United Nations","University Centre for Policy Research (UNU-CPR)","South Africa","Recognised as a top-ranking leader in the realm of AI advancement globally, Lavina is #aiMOM who is creating a more intelligent tomorrow everywhere she goes.","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/SidiMohamedDhaker0505.jpg","Dr. Sidi Mohamed Dhaker","Director General - Institute of Economic Studies","Central Bank of Mauritania","Mauritania","Dr. Sidi Mohamed Dhaker is the Director General of the Institute for Economic Studies of the Central Bank of
Mauritania, an Associate Professor of economics and management at the University of Nouakchott (Mauritania), and
Executive Director at Africa Fintech Forum.","Before his actual position, he has been Chief of Staff and Principal Advisor to the Governor, Director of
communications, and Director of Strategy and Transformation at the Central Bank of Mauritania (10 years). Prior to
this, he was Director of Strategy, Monitoring & Evaluation for three years at World Vision International in West
Africa and has led several consulting missions in Europe and West Africa for international organisations (WB, AFD,
BMZ/GTZ, BPCE Bank, etc.)","Dr. Dhaker is a frequent speaker on financial innovation and inclusion, economic development and leadership in
academic circles, conferences, and international events.","He is board member of several regional and international organisations as the Africa Fintech Forum, the Maghreb
Economic Forum, Tod’aérs Global Network, Young African Economists Circle, etc.","A recipient of the prestigious “Transformer’s Award” for his work to boost Fintech in Mauritania, he is also
recipient of the Mandela Washington Fellowship for Young African Leaders (2015), the French-Africa Young Leader
(2019), and the Emerging Leaders program (2017). He figures also since 2019 in the prestigious ranking “Choiseul 100
Africa” for the emerging economic leaders in Africa."
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/FabricePerez0505.jpg","Fabrice Perez","Head of Venture Capital","Proparco","France","•       Head of Venture Capital at Proparco (currently) 
•       Head of Credit and Equity Risks at Proparco 
•       Director M&A at Mandel Partners 
•       Deputy Head Structured Finance at Banco Espirito Santo","","","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/CarlManlan0505.jpg","Carl Manlan","VP, Inclusive Impact & Sustainability, Central & Eastern Europe, Middle East & Africa","VISA","UAE","Carl focuses on enabling community impact with local, regional and global partners, co-creating partnerships that support Small and Medium Businesses, Individuals and households to thrive in the CEMEA region.","Prior to Visa, Carl served as the Chief Operating Officer at Ecobank Foundation where he led the bank’s social impact work in 33 markets in Africa. Before Ecobank Foundation, Carl held various leadership roles at the African Union Development Agency (AUDA-NEPAD), Economic Commission for Africa, The Global Fund and UNDP.","Carl holds an undergraduate degree in Politics, Philosophy and Economics from the University of Cape Town and a Master of Public Administration from Harvard Kennedy School. He is a Mo Ibrahim Foundation Fellow and an Aspen Institute New Voices Senior Fellow.","",""
"https://gitexafrica.com/Uploads//Posts/2024_Speakers/CRAFSheriefKesseba0505.jpg","Sherief Kesseba","Managing Partner","Climate Resilient Africa Fund by African Development Bank","Egypt","Sherief is the Managing
Partner of Climate Resilient Africa Fund, a venture fund backing
early-stage African technologies at the intersection of agriculture
and climate impact. He has 20+ years of experience farming and
exporting fruits, veg, cereals and grains from Africa to 4 continents from a
venture that he founded, operated, and exited.","","","",""
